DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
"Construction, Engineering & Machinery",5159-63,Meat & Fish Processing Equipment & Machinery Trading,تجارة معدات وآلات تهيئة اللحوم والاسماك وتجهيزها,Trading,"Includes reselling of equipment and machines for processing slaughtered cattle, chicken, fish and seafood, including skinning, defeathering, removal of crusts, cleaning and removal of unwanted parts, also, cutting meat in slices, filets, or mincing meat and preparing for cooking.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-64,Spinning & Weaving Equipment & Spare Parts Trading,تجارة معدات الغزل والنسج وقطع غيارها,Trading,"Includes reselling machinery for various spinning and weaving processes, such as reelers, wrappers, looms, machines for making knotted net, textile printing, bleaching, dyeing, dressing, coating or impregnating textile fabrics.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-65,Electronic Games & Amusement Center Equipment Trading,تجارة معدات واجهزة صالات التسلية والالعاب الالكترونية,Trading,"Includes reselling entertainment centers equipment and instruments, including billiard tables, bowling hall requisites, electronic games and home video centers.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-66,Heavy Duty Equipment & Machinery Repair & Maintenance,اصلاح المكائن والمعدات الثقيلة وصيانتها وتشغيلها,Service,"Includes firms repair machinery and equipment, lifts, escalators, boilers, central kitchens, automatic washing equipment, electric generators, water pumps, also, operation and regular maintenance.",No,DMCC Tea Centre Facility,Activity allowed for companies registered with DMCC Tea Centre only,Activity allowed for companies registered with DTTC (DUBAI TEA TRADING CENTRE DMCC) only,"50,000 AED per company",Dubai Tea Trading Centre DMCC,
Shipping & Logistics,5159-67,Ships & Boats Trading,تجارة السفن والقوارب,Trading,"Includes reselling different metal and wood commercial vessels used in transportation such as cargo ships, tankers, long and short distance passenger vessels, tourist, fishing boats and fish-processing factory vessels, recreation-type hovercraft, tugboats, also metal and wood rescue boats, fishing boats, recreation and sport boats.",No,Any Type,No Restriction,,"50,000 AED per company",,
Aviation,5159-68,Light Aircraft Trading,تجارة الطائرات الخفيفة,Trading,"Includes reselling light aircraft with a maximum gross takeoff weight of 100,000 lbs and are used commercially for passenger and freight transport, sightseeing, photography and personal use.",No,Any Type,No Restriction,,"50,000 AED per company",Dubai Civil Aviation Authority,
Shipping & Logistics,5159-69,"Ships, Boats Spare Parts & Components Trading",تجارة قطع غيار السفن والقوارب ومكوناتها,Trading,"Includes reselling of spare parts and components for ship and boats reparation, maintenance, renovation and efficiency upgrading, including engines, ancillary engines, boilers, spindles, pipes, communication and measuring devices.",No,Any Type,No Restriction,,"50,000 AED per company",,
Aviation,5159-70,Aircraft Spare Parts & Components Trading,تجارة قطع غيار الطائرات ومكوناتها,Trading,"Includes reselling of spare parts and other components for aircraft reparation, maintenance, renovation and efficiency upgrading, as well as provision of safety and security systems or others.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-71,Kids Rides & Games Trading,تجارة تجهيزات العاب الاطفال,Trading,"Includes reselling in-door children rides and games, as well as those installed in public parks and gardens for children entertainment, including swings, slides, house and aircraft models, whether made of solid and safe materials or of inflatable objects.",No,Any Type,No Restriction,,"50,000 AED per company",,
Automotive Transportation,5159-72,Trains Spare Parts & Components Trading,تجارة قطع غيار القطارات ومكوناتها,Trading,"Includes reselling specialized parts of railway locomotives and rolling Stock, such as axles and wheels, brakes, hooks and coupling devices, buffers, shock absorbers, wagon and locomotive frames, bodies, corridor connections.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-73,Aquariums & Display Cases Trading,تجارة الاحواض ومعدات عرض الاسماك والحيوانات البحرية,Trading,"Includes reselling aquariums to display fish and marine animals in public places, in restaurants serve sea food, in shops sell living fishs and marine animals, also, equipment for preserving chilled for selling.",No,Any Type,No Restriction,,"50,000 AED per company",Public Health Services Department - Dubai Municipality,
"Construction, Engineering & Machinery",5159-74,Engines & Machinery Spare Parts Trading.,تجارة قطع غيار المكائن والمحركات,Trading,"Includes reselling parts and components for engines, motors, pumps, gear boxes, steering and starters, including pipes, flexible metal, plastic and fibers hoses used in hydraulic and gas engines and motors, as well as belts, ball bearings, gears, crankshaft and pistons.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",5159-75,Blast Furnaces & Smelters Trading,تجارة الافران العالية والمصاهر,Trading,Includes reselling blast furnaces used for smelting iron ores to produce semi-finished products.,No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-76,"Inspection, Testing Equipment & Devices Trading",تجارة معدات واجهزة الفحص والاختبار,Trading,"Includes the reselling of equipment and devices specialized in testing, examining, and inspecting constructions, facilities, marine and industrial equipment, vehicles and transport means, these devices are related to on-site testing apart from laboratory equipment which are classified under 5150-10",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-77,Central Ventilators & Air Filters Trading,تجارة معدات التهوية وتنقية الهواء المركزية,Trading,"Includes reselling ventilation and air filtering equipment to make air inside factories, workshops and warehouses clean of smoke, dust and others, central ventilators in closed facilities are also included, in- houses ventilators are classified under 513410",No,Any Type,No Restriction,,"50,000 AED per company",,
Shipping & Logistics,5159-78,Ports & Marine Guide Equipment Trading,تجارة معدات الموانيء والارشاد البحري,Trading,"Includes reselling ports and harbors equipment and fixtures, including installations ships and boats berths, loaders and un-loaders, container movers, traffic control and monitors, signals and marine guide devices and lighthouses.",No,Any Type,No Restriction,,"50,000 AED per company",,
General Trading,5159-79,Photographic Processing Equipment & Requisites Trading,تجارة معدات التحميض ولوازمها,Trading,"Includes reselling photographic processing apparatus which transform the latent image into a visible printable image, it involves manual small scale processing as well as the automatic commercial processing equipment.",No,Any Type,No Restriction,,"50,000 AED per company",,
